Code,Boroughs,Workday Population,Tourist Population,,
E09000001,City of London,"431,384","121,719",,
E09000002,Barking and Dagenham,"164,584","13,742",,
E09000003,Barnet,"331,094","24,909",,
E09000004,Bexley,"194,807","16,744",,
E09000005,Brent,"274,896","18,963",,
E09000006,Bromley,"271,896","31,448",,
E09000007,Camden,"434,279","61,053",,
E09000008,Croydon,"314,819","34,409",,
E09000009,Ealing,"305,316","22,309",,
E09000010,Enfield,"277,637","29,841",,
E09000011,Greenwich,"220,356","34,610",,
E09000012,Hackney,"240,792","22,373",,
E09000013,Hammersmith and Fulham,"202,214","28,267",,
E09000014,Haringey,"209,884","15,590",,
E09000015,Harrow,"204,423","24,888",,
E09000016,Havering,"203,607","20,601",,
E09000017,Hillingdon,"327,032","30,263",,
E09000018,Hounslow,"271,872","18,837",,
E09000019,Islington,"297,460","30,590",,
E09000020,Kensington and Chelsea,"196,892","55,939",,
E09000021,Kingston upon Thames,"149,874","16,287",,
E09000022,Lambeth,"269,981","27,521",,
E09000023,Lewisham,"207,571","21,208",,
E09000024,Merton,"178,645","15,228",,
E09000025,Newham,"274,935","31,167",,
E09000026,Redbridge,"237,756","15,849",,
E09000027,Richmond upon Thames,"170,578","19,153",,
E09000028,Southwark,"382,582","34,447",,
E09000029,Sutton,"162,405","15,340",,
E09000030,Tower Hamlets,"367,677","29,262",,
E09000031,Waltham Forest,"210,365","12,400",,
E09000032,Wandsworth,"238,102","28,394",,
E09000033,Westminster,"721,351","175,942",,
